詞目id,義項id,詞目,詞性,解說
1,1,一 tsi̍t,數詞,數目。
1,2,一 tsi̍t,形容詞,全部的、整個的。
1,3,一 tsi̍t,副詞,表示時間短、數量少、程度輕等。
2,4,一 it,數詞,數字。
2,5,一 it,形容詞,極、最、第一的。
2,6,一 it,形容詞,相同的。
2,7,一 it,副詞,整個地、全部地。
3,8,一刀兩斷 it-to-lióng-tuān,熟語,一刀斬成兩段，比喻斷絕關係。
4,9,一下 tsi̍t-ē,,動詞後綴。表示極短的時間或是短時間的動作。
4,10,一下 tsi̍t-ē,副詞,表示兩個動作間的連續狀況，相當於華語「一……就……」。
4,11,一下 tsi̍t-ē,助詞,連接動詞及補語，相當於華語「得」。
5,12,一月日 tsi̍t gue̍h-ji̍t/tsi̍t ge̍h-li̍t,時間詞,一個月。
6,13,一日到暗 tsi̍t-ji̍t-kàu-àm/tsi̍t-li̍t-kàu-àm,熟語,一天到晚、從早到晚，整天。
7,14,一世人 tsi̍t-sì-lâng,名詞,一輩子。
8,15,一半 tsi̍t-puànn,名詞,二分之一。
8,16,一半 tsi̍t-puànn,形容詞,表示次數很少。
9,17,一半个仔 tsi̍t-puànn-ê-á,名詞,幾個、一兩個、少數幾個。
10,18,一半日仔 tsi̍t-puànn-ji̍t-á/tsi̍t-puànn-li̍t-á,熟語,一兩天。
11,19,一四界 tsi̍t-sì-kè/tsi̍t-sì-kuè,副詞,遍地、到處。
12,20,一旦 it-tàn,副詞,假使有一天。
12,21,一旦 it-tàn,名詞,短暫的時間。
13,22,一生 it-sing,名詞,畢生、一輩子。
14,24,一目𥍉仔 tsi̍t-ba̍k-nih-á,時間詞,一瞬間、一眨眼。指很短暫的時間。
15,25,一甲子 tsi̍t kah-tsí,時間詞,六十年。由十二天干數和十地支數配合而形成的傳統計算年歲的方法，以六十年為一個輪迴。
16,26,一百空一 tsi̍t-pah khòng-it,數詞,一百零一。
17,27,一來 it--lâi,副詞,首先。
18,28,一定 it-tīng,副詞,必定、必然。
18,29,一定 it-tīng,形容詞,固定的。
19,30,一直 it-ti̍t,副詞,朝同一個方向直行而去。
19,31,一直 it-ti̍t,副詞,持續不間斷。
20,32,一律 it-lu̍t,副詞,全部都一樣。
21,33,一致 it-tì,形容詞,趨向相同。
22,34,一面 tsi̍t-bīn,副詞,描述兩種以上的事情同時進行著。
22,35,一面 tsi̍t-bīn,形容詞,片面的，單方面的。
23,36,一垺屎 tsi̍t-pû-sái,名詞,一坨屎、一坨大便。
24,37,一屑仔 tsi̍t-sut-á,形容詞,一點點。形容體積很小或數量很少。
25,38,一家伙仔 tsi̍t-ke-hué-á/tsi̍t-ke-hé-á,名詞,一家子。全家人、同一家人。
26,39,一般 it-puann,形容詞,普遍性的、平常的。
27,40,一粒一 it-lia̍p-it,形容詞,最好的、第一流的。
27,41,一粒一 it-lia̍p-it,形容詞,最投契的。
28,42,一睏仔 tsi̍t-khùn-á,副詞,一陣子、一會兒。
28,43,一睏仔 tsi̍t-khùn-á,副詞,一口氣。
29,44,一概 it-khài,副詞,一律、完全。
30,45,一路 tsi̍t-lōo,名詞,沿途、路上。 
31,46,一寡 --tsi̍t-kuá,形容詞,一些、少許，也可以單說「寡」(--kuá)。
32,47,一寡仔 tsi̍t-kuá-á,形容詞,一點點、一些些。
33,48,一對時 tsi̍t tuì-sî,時間詞,一晝夜、二十四小時。
34,49,一霎仔久 tsi̍t-tiap-á-kú,副詞,一瞬間、一下子。形容很短的時間。
35,50,一點仔 tsi̍t-tiám-á,形容詞,一點兒、一 點點。形容數量極少。
36,51,一礐屎 tsi̍t-ha̍k-sái,名詞,一糞坑的大便。
36,52,一礐屎 tsi̍t-ha̍k-sái,形容詞,形容一群無用的人或東西。
37,53,一觸久仔 tsi̍t-tak-kú-á,時間詞,一會兒、一下子。
38,54,乙 it,名詞,天干的第二位。
